Date,Open,High,Low,Close,Volume
1987-07-01,303.99,304,302.53,302.94,87222222
1987-07-02,302.96,306.34,302.94,305.63,86055556
1987-07-06,305.64,306.75,304.23,304.92,86111111
1987-07-07,304.91,308.63,304.73,307.4,111500000
1987-07-08,307.41,308.48,306.01,308.29,115277778
1987-07-09,308.3,309.56,307.42,307.52,108555556
1987-07-10,307.55,308.4,306.96,308.37,95611111
1987-07-13,308.41,308.41,305.49,307.63,84722222
1987-07-14,307.67,310.69,307.46,310.68,103277778
1987-07-15,310.67,312.08,309.07,310.42,112388889
1987-07-16,311,312.83,310.42,312.7,117166667
1987-07-17,312.71,314.59,312.38,314.59,116666667
1987-07-20,314.56,314.59,311.24,311.39,93388889
1987-07-21,311.36,312.41,307.51,308.55,103666667
1987-07-22,308.56,309.12,307.22,308.47,97055556
1987-07-23,308.5,309.63,306.1,307.81,90944444
1987-07-24,307.82,309.28,307.78,309.27,88000000
1987-07-27,309.3,310.7,308.61,310.65,84444444
1987-07-28,310.65,312.33,310.28,312.33,95888889
1987-07-29,312.34,315.65,311.73,315.65,109000000
1987-07-30,315.69,318.53,315.65,318.05,115555556
1987-07-31,318.05,318.85,317.56,318.66,101055556
1987-08-03,318.62,320.26,316.52,317.57,115444444
1987-08-04,317.59,318.25,314.51,316.23,92500000
1987-08-05,316.25,319.74,316.23,318.45,107055556
1987-08-06,318.49,322.09,317.5,322.09,106666667
1987-08-07,322.1,324.15,321.82,323,118166667
1987-08-10,322.98,328,322.95,328,104000000
1987-08-11,328.02,333.4,328,333.33,154500000
1987-08-12,333.32,334.57,331.06,332.39,131000000
1987-08-13,332.38,335.52,332.38,334.65,120611111
1987-08-14,334.63,336.08,332.63,333.99,108944444
1987-08-17,333.98,335.43,332.88,334.11,92277778
1987-08-18,334.1,334.11,326.43,329.25,110222222
1987-08-19,329.26,329.89,326.54,329.83,100500000
1987-08-20,331.49,335.19,329.83,334.84,109222222
1987-08-21,334.85,336.37,334.3,335.9,105333333
1987-08-24,335.89,335.9,331.92,333.33,83000000
1987-08-25,333.37,337.89,333.33,336.77,118611111
1987-08-26,336.77,337.39,334.46,334.57,109000000
1987-08-27,334.56,334.57,331.1,331.38,90888889
1987-08-28,331.37,331.38,327.03,327.04,86833333
1987-08-31,327.03,330.09,326.99,329.8,92111111
1987-09-01,329.81,332.18,322.83,323.4,107500000
1987-09-02,323.4,324.53,318.76,321.68,111055556
1987-09-03,321.47,324.29,317.39,320.21,91777778
1987-09-04,320.21,322.03,316.53,316.7,71722222
1987-09-08,316.68,316.7,308.56,313.56,134944444
1987-09-09,313.6,315.41,312.29,313.92,91611111
1987-09-10,313.92,317.59,313.92,317.13,99888889
1987-09-11,317.14,322.45,317.13,321.98,98888889
1987-09-14,322.02,323.81,320.4,323.08,85777778
1987-09-15,323.07,323.08,317.63,317.74,75666667
1987-09-16,317.75,319.5,314.61,314.86,108722222
1987-09-17,314.94,316.08,313.45,314.93,83722222
1987-09-18,314.98,316.99,314.86,314.86,104500000
1987-09-21,314.92,317.66,310.12,310.54,94500000
1987-09-22,310.54,319.51,308.69,319.5,116388889
1987-09-23,319.49,321.83,319.12,321.19,122388889
1987-09-24,321.09,322.01,319.12,319.72,90111111
1987-09-25,319.72,320.55,318.1,320.16,76666667
1987-09-28,320.16,325.33,320.16,323.2,104500000
1987-09-29,323.2,324.63,320.27,321.69,96388889
1987-09-30,321.69,322.53,320.16,321.83,101722222
1987-10-01,321.83,327.34,321.83,327.33,107333333
1987-10-02,327.33,328.94,327.22,328.07,105055556
1987-10-05,328.07,328.57,326.09,328.08,88722222
1987-10-06,328.08,328.08,319.17,319.22,97555556
1987-10-07,319.22,319.39,315.78,318.54,103500000
1987-10-08,318.54,319.34,312.02,314.16,110388889
1987-10-09,314.16,315.04,310.97,311.07,87944444
1987-10-12,311.07,311.07,306.76,309.39,78833333
1987-10-13,309.39,314.53,309.39,314.52,96055556
1987-10-14,314.52,314.52,304.78,305.23,115222222
1987-10-15,305.21,305.23,298.07,298.08,146222222
1987-10-16,298.08,298.92,281.52,282.7,188055556
1987-10-19,282.7,282.7,224.83,224.84,335722222
1987-10-20,225.06,245.62,216.46,236.83,337833333
1987-10-21,236.83,259.27,236.83,258.38,249777778
1987-10-22,258.24,258.38,242.99,248.25,217888889
1987-10-23,248.29,250.7,242.76,248.22,136444444
1987-10-26,248.2,248.22,227.26,227.67,171555556
1987-10-27,227.67,237.81,227.67,233.19,144555556
1987-10-28,233.19,238.58,226.26,233.28,155222222
1987-10-29,233.31,246.69,233.28,244.77,143388889
1987-10-30,244.77,254.04,244.77,251.79,168555556
1987-11-02,251.73,255.75,249.15,255.75,97777778
1987-11-03,255.75,255.75,242.78,250.82,126555556
1987-11-04,250.81,251,246.34,248.96,112500000
1987-11-05,248.93,256.09,247.72,254.48,125555556
1987-11-06,254.49,257.21,249.68,250.41,126827778
1987-11-09,250.41,250.41,243.01,243.17,89272222
1987-11-10,243.14,243.17,237.64,239,102394444
1987-11-11,239.01,243.86,239,241.9,82138889
1987-11-12,241.93,249.9,241.9,248.52,114600000
1987-11-13,248.54,249.42,245.64,245.64,97177778
1987-11-16,245.69,249.54,244.98,246.76,91300000
1987-11-17,246.73,246.76,240.81,243.04,82355556
1987-11-18,243.09,245.55,240.67,245.55,87927778
1987-11-19,245.54,245.55,239.7,240.05,87300000
1987-11-20,240.04,242.01,235.89,242,105094444
1987-11-23,242,242.99,240.5,242.99,79533333
1987-11-24,242.98,247.9,242.98,246.39,110844444
1987-11-25,246.42,246.54,244.08,244.1,77655556
1987-11-27,244.11,244.12,240.34,240.34,47977778
1987-11-30,240.27,240.34,225.75,230.3,149394444
1987-12-01,230.32,234.02,230.3,232,83261111
1987-12-02,232.01,234.56,230.31,233.45,82716667
1987-12-03,233.46,233.9,225.21,225.21,113422222
1987-12-04,225.2,225.77,221.24,223.92,102666667
1987-12-07,223.98,228.77,223.92,228.76,81477778
1987-12-08,228.77,234.92,228.69,234.91,126283333
1987-12-09,234.91,240.09,233.83,238.89,128572222
1987-12-10,238.89,240.05,233.4,233.57,104977778
1987-12-11,233.6,235.48,233.35,235.32,84266667
1987-12-14,235.3,242.34,235.04,242.19,104266667
1987-12-15,242.19,245.59,241.31,242.81,119427778
1987-12-16,242.81,248.11,242.8,248.08,107677778
1987-12-17,248.08,248.6,242.96,242.98,106544444
1987-12-18,243.01,249.18,243.01,249.16,153455556
1987-12-21,249.14,250.25,248.3,249.54,89883333
1987-12-22,249.56,249.97,247.01,249.95,107027778
1987-12-23,249.96,253.35,249.95,253.16,112838889
1987-12-24,253.13,253.16,251.68,252.03,60444444
1987-12-28,252.01,252.02,244.19,245.57,72900000
1987-12-29,245.58,245.88,244.28,244.59,61988889
1987-12-30,244.63,248.06,244.59,247.86,82905556
